experiment,lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
env_with_chla,T+1,XGBoost,0.32,0.9388127853881278,0.91701244813278,0.8246268656716418,0.8683693516699411,0.9877005540616146,0.9632348963721576,0.9002215344077678,807,20,47,221
env_with_chla,T+1,XGBoost,0.33,0.9360730593607306,0.9159663865546218,0.8134328358208955,0.8616600790513834,0.9877005540616146,0.9632348963721576,0.8946245194823945,807,20,50,218
env_with_chla,T+1,XGBoost,0.34,0.936986301369863,0.919831223628692,0.8134328358208955,0.8633663366336634,0.9877005540616146,0.9632348963721576,0.8952291144037972,808,19,50,218
env_with_chla,T+1,XGBoost,0.35,0.9378995433789954,0.9273504273504274,0.8097014925373134,0.8645418326693227,0.9877005540616146,0.9632348963721576,0.8945726326048115,810,17,51,217
env_with_chla,T+1,XGBoost,0.36,0.9360730593607306,0.9267241379310345,0.8022388059701493,0.86,0.9877005540616146,0.9632348963721576,0.8908412893212294,810,17,53,215
env_with_chla,T+1,XGBoost,0.37,0.9333333333333333,0.925764192139738,0.7910447761194029,0.8531187122736419,0.9877005540616146,0.9632348963721576,0.8852442743958562,810,17,56,212
env_with_chla,T+1,XGBoost,0.38,0.9315068493150684,0.9288888888888889,0.7798507462686567,0.847870182555781,0.9877005540616146,0.9632348963721576,0.8802518543918858,811,16,59,209
env_with_chla,T+1,XGBoost,0.39,0.9296803652968036,0.9282511210762332,0.7723880597014925,0.8431771894093686,0.9877005540616146,0.9632348963721576,0.8765205111083036,811,16,61,207
env_with_chla,T+1,XGBoost,0.4,0.9287671232876712,0.9279279279279279,0.7686567164179104,0.8408163265306122,0.9877005540616146,0.9632348963721576,0.8746548394665127,811,16,62,206
env_with_chla,T+1,XGBoost,0.41,0.9287671232876712,0.9279279279279279,0.7686567164179104,0.8408163265306122,0.9877005540616146,0.9632348963721576,0.8746548394665127,811,16,62,206
env_with_chla,T+1,XGBoost,0.42,0.9278538812785389,0.9276018099547512,0.7649253731343284,0.8384458077709611,0.9877005540616146,0.9632348963721576,0.8727891678247217,811,16,63,205
